Adobe,,,,,
close,102.95,175.24,226.24,329.81,500.12
open,91.77,103.43,175.85,219.91,330.00
Sum profit,"0,121826305","0,9095565","1,465293669","2,593875994","4,449711235"
Annual profit,"0,121826305","0,45477825","0,488431223","0,648468999","0,889942247"
