Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,57.880001,58.630001,55.720001,57.009998,57.009998,710800
2021-03-17,54.560001,57.400002,54.034000,56.520000,56.520000,799500
2021-03-18,56.029999,58.730000,55.910000,56.060001,56.060001,1538900
2021-03-19,56.759998,57.779999,55.689999,56.410000,56.410000,1772300
2021-03-22,56.950001,57.189999,55.320000,55.529999,55.529999,614100
2021-03-23,54.270000,54.990002,53.259998,53.669998,53.669998,672800
2021-03-24,54.209999,54.590000,50.840000,51.029999,51.029999,789900
2021-03-25,50.610001,52.369999,49.939999,51.570000,51.570000,920800
2021-03-26,52.400002,52.630001,50.560001,52.439999,52.439999,763100
2021-03-29,53.209999,53.349998,52.112000,52.619999,52.619999,629700
2021-03-30,54.000000,54.040001,51.349998,52.900002,52.900002,976300
2021-03-31,53.799999,57.630001,53.779999,56.070000,56.070000,1100200
2021-04-01,57.619999,58.970001,56.820999,58.000000,58.000000,740200
2021-04-05,57.910000,58.139999,57.080002,57.720001,57.720001,625400
2021-04-06,56.290001,58.389999,56.000000,57.900002,57.900002,1029900
2021-04-07,57.500000,59.790001,56.919998,59.040001,59.040001,1382800
2021-04-08,59.650002,59.860001,57.824001,57.959999,57.959999,1138600
2021-04-09,57.680000,60.820000,57.349998,60.730000,60.730000,1328100
2021-04-12,61.290001,61.959999,60.110001,60.889999,60.889999,778100
2021-04-13,61.779999,63.849998,61.330002,62.139999,62.139999,1026500
2021-04-14,62.930000,63.419998,60.650002,62.459999,62.459999,951800
2021-04-15,61.595001,62.240002,60.009998,62.070000,62.070000,1130900
2021-04-16,61.740002,63.630001,61.520000,62.750000,62.750000,434500
2021-04-19,61.610001,62.084999,59.369999,61.200001,61.200001,611300
2021-04-20,59.400002,60.540001,58.070000,59.880001,59.880001,952700
2021-04-21,59.540001,61.459999,58.830002,61.369999,61.369999,425600
2021-04-22,61.889999,63.990002,61.349998,62.209999,62.209999,825800
2021-04-23,63.160000,65.669998,63.070000,65.470001,65.470001,1423100
2021-04-26,65.620003,67.849998,65.620003,66.230003,66.230003,757900
2021-04-27,66.809998,67.400002,64.760002,65.470001,65.470001,470700
2021-04-28,65.089996,65.300003,62.919998,64.370003,64.370003,588500
2021-04-29,64.680000,64.820000,61.860001,62.360001,62.360001,817100
2021-04-30,61.080002,63.169998,60.759998,62.189999,62.189999,622600
2021-05-03,62.570000,62.639999,59.540001,60.139999,60.139999,436800
2021-05-04,60.830002,61.060001,59.509998,60.160000,60.160000,796300
2021-05-05,60.450001,61.150002,58.590000,58.740002,58.740002,822500
2021-05-06,59.160000,60.160000,57.799999,59.000000,59.000000,1483100
2021-05-07,60.000000,60.580002,57.560001,57.720001,57.720001,1152300
2021-05-10,57.070000,57.070000,53.509998,53.630001,53.630001,1796200
2021-05-11,53.400002,56.709999,52.610001,56.040001,56.040001,1239000
2021-05-12,57.009998,57.040001,53.799999,54.509998,54.509998,1753600
2021-05-13,54.740002,55.599998,52.509998,53.860001,53.860001,1005100
2021-05-14,55.000000,56.029999,54.779999,55.830002,55.830002,638100
2021-05-17,55.500000,55.560001,53.439999,54.389999,54.389999,1399700
