Date,Open,High,Low,Close,Adj Close,Volume
2016-03-09,104.739998,105.150002,104.440002,105.010002,101.732964,13700
2016-03-10,105.800003,106.169998,103.779999,104.930000,101.655457,28000
2016-03-11,106.000000,106.889999,105.919998,106.889999,103.554298,26000
2016-03-14,106.510002,107.150002,106.510002,107.000000,103.660843,16900
2016-03-15,106.570000,107.199997,106.330002,106.989998,103.651169,17700
2016-03-16,106.959999,108.379997,106.650002,108.169998,104.794357,24100
2016-03-17,107.870003,108.860001,107.870003,108.589996,105.201241,31700
2016-03-18,109.080002,109.080002,108.320000,108.750000,105.356270,39300
2016-03-21,108.529999,109.169998,108.459999,109.169998,105.763161,21900
2016-03-22,108.489998,109.570000,108.489998,109.269997,105.860023,54700
2016-03-23,108.760002,108.760002,108.120003,108.190002,105.114838,9800
2016-03-24,107.739998,108.519997,107.570000,108.470001,105.386871,12800
2016-03-28,108.730003,108.730003,108.099998,108.220001,105.143982,12700
2016-03-29,108.110001,110.230003,108.000000,110.139999,107.009399,33100
2016-03-30,110.739998,111.370003,110.519997,110.720001,107.572899,29900
2016-03-31,110.750000,111.139999,110.419998,110.660004,107.514626,40500
2016-04-01,110.010002,111.589996,109.769997,111.589996,108.418198,329000
2016-04-04,111.709999,111.709999,110.660004,110.750000,107.602066,29900
2016-04-05,110.040001,110.209999,109.529999,109.529999,106.416725,36800
2016-04-06,109.720001,110.959999,109.449997,110.940002,107.786674,16100
2016-04-07,110.330002,110.330002,109.059998,109.370003,106.261276,17700
2016-04-08,110.000000,110.419998,109.110001,109.339996,106.232124,18900
2016-04-11,109.919998,110.529999,109.080002,109.080002,105.979530,17200
2016-04-12,109.169998,109.839996,108.510002,109.709999,106.591629,14100
2016-04-13,110.790001,111.470001,110.459999,111.419998,108.252998,14300
2016-04-14,111.419998,111.690002,111.000000,111.410004,108.243309,16500
2016-04-15,111.360001,111.360001,110.940002,111.059998,107.903252,9800
2016-04-18,110.930000,111.760002,110.709999,111.739998,108.563904,17400
2016-04-19,111.760002,111.760002,110.190002,110.809998,107.660362,143000
2016-04-20,110.860001,111.739998,110.610001,111.269997,108.107292,16500
2016-04-21,111.379997,111.660004,111.089996,111.230003,108.068413,7900
2016-04-22,109.879997,110.139999,108.959999,109.580002,106.465332,17500
2016-04-25,109.199997,109.410004,109.000000,109.309998,106.202980,12600
2016-04-26,109.639999,109.730003,108.830002,109.099998,105.998947,46600
2016-04-27,107.980003,108.699997,107.570000,108.699997,105.610336,28100
2016-04-28,108.910004,109.529999,107.120003,107.349998,104.298698,23200
2016-04-29,107.669998,107.720001,106.309998,107.070000,104.026665,115700
2016-05-02,107.300003,108.120003,106.879997,107.989998,104.920509,35400
2016-05-03,107.239998,107.489998,106.570000,106.820000,103.783752,24500
2016-05-04,106.320000,106.550003,105.879997,106.250000,103.229973,324800
2016-05-05,106.610001,106.809998,106.019997,106.059998,103.045349,20500
2016-05-06,105.760002,106.980003,105.760002,106.980003,103.939240,19800
2016-05-09,106.940002,107.570000,106.940002,107.110001,104.065529,288300
2016-05-10,107.669998,108.750000,107.510002,108.690002,105.600601,16700
2016-05-11,108.500000,109.010002,108.139999,108.139999,105.066254,11200
2016-05-12,108.489998,108.489998,107.080002,107.779999,104.716492,7200
2016-05-13,107.510002,108.309998,107.239998,107.430000,104.376427,47200
2016-05-16,107.669998,109.000000,107.430000,108.750000,105.658928,11600
2016-05-17,108.459999,108.650002,107.239998,107.430000,104.376427,42000
2016-05-18,107.110001,108.650002,107.110001,107.930000,104.862213,22600
2016-05-19,107.650002,107.919998,106.699997,107.400002,104.347275,16600
2016-05-20,107.989998,108.980003,107.610001,108.769997,105.678337,17900
2016-05-23,108.680000,109.160004,108.570000,108.570000,105.484009,30300
2016-05-24,109.000000,110.900002,109.000000,110.809998,107.660362,25700
2016-05-25,111.309998,111.830002,110.959999,111.629997,108.457047,15500
2016-05-26,111.470001,112.019997,111.470001,111.910004,108.729095,33200
2016-05-27,111.879997,112.500000,111.879997,112.480003,109.282906,9600
2016-05-31,112.589996,112.830002,112.150002,112.830002,109.622940,21600
2016-06-01,112.349998,112.970001,112.209999,112.769997,109.564644,26500
2016-06-02,112.400002,112.910004,112.250000,112.910004,109.700676,14200
2016-06-03,112.739998,112.769997,111.809998,112.500000,109.302299,15400
2016-06-06,112.650002,113.230003,112.650002,112.989998,109.778389,9500
2016-06-07,113.180000,113.470001,113.040001,113.059998,109.846397,12400
2016-06-08,113.320000,113.559998,113.040001,113.370003,110.147598,14700
2016-06-09,112.879997,113.349998,112.870003,113.250000,110.031013,17200
2016-06-10,112.269997,112.440002,111.610001,111.800003,108.622223,11700
2016-06-13,111.269997,112.010002,110.870003,111.040001,107.883835,51100
2016-06-14,110.760002,111.360001,110.500000,111.099998,107.942108,9100
2016-06-15,111.300003,111.500000,110.860001,110.870003,107.718643,8300
2016-06-16,110.150002,111.190002,109.739998,111.080002,107.922691,10300
2016-06-17,111.169998,111.169998,109.889999,110.220001,107.087128,11100
2016-06-20,111.239998,111.980003,110.970001,110.970001,107.815804,13200
2016-06-21,110.949997,111.419998,110.949997,111.290001,108.429634,12100
2016-06-22,111.410004,111.589996,110.639999,110.669998,107.825546,12200
2016-06-23,111.559998,112.430000,111.180000,112.430000,109.540306,50200
2016-06-24,108.279999,109.769997,107.449997,107.599998,104.834457,24400
2016-06-27,106.720001,106.720001,104.309998,104.750000,102.057732,33500
2016-06-28,105.980003,106.910004,105.900002,106.889999,104.142693,19400
2016-06-29,107.839996,108.940002,107.820000,108.699997,105.906181,11600
2016-06-30,109.029999,109.980003,108.830002,109.980003,107.153267,34700
2016-07-01,109.989998,110.709999,109.879997,110.220001,107.387123,10600
2016-07-05,109.570000,109.599998,108.959999,109.419998,106.607666,11200
2016-07-06,108.849998,110.239998,108.639999,110.239998,107.406609,19000
2016-07-07,110.279999,110.760002,109.900002,110.379997,107.543015,8900
2016-07-08,111.099998,112.379997,111.070000,112.300003,109.413673,9300
2016-07-11,112.970001,113.370003,112.970001,113.019997,110.115150,23800
2016-07-12,113.769997,114.239998,113.550003,114.110001,111.177124,17000
2016-07-13,114.449997,114.449997,113.919998,113.919998,110.992004,20900
2016-07-14,114.589996,114.910004,114.540001,114.680000,111.732498,22200
2016-07-15,114.930000,115.000000,114.269997,114.459999,111.518143,13500
2016-07-18,114.599998,115.309998,114.209999,115.190002,112.229385,11700
2016-07-19,114.709999,115.099998,114.709999,114.779999,111.829926,5400
2016-07-20,115.779999,116.739998,115.620003,116.430000,113.437515,28600
2016-07-21,116.510002,116.529999,115.580002,115.760002,112.784744,34600
2016-07-22,115.809998,116.440002,115.540001,116.440002,113.447266,10700
2016-07-25,116.379997,116.449997,116.040001,116.370003,113.379066,29100
2016-07-26,116.540001,117.209999,116.360001,116.919998,113.914917,8300
2016-07-27,117.889999,117.889999,117.099998,117.449997,114.431297,411000
2016-07-28,117.910004,118.040001,117.470001,117.959999,114.928177,9200
2016-07-29,118.309998,118.419998,117.940002,118.190002,115.152260,223300
2016-08-01,118.190002,118.720001,118.040001,118.570000,115.522522,15500
2016-08-02,118.360001,118.449997,116.910004,117.410004,114.392334,27400
2016-08-03,117.269997,117.820000,117.269997,117.809998,114.782043,21500
2016-08-04,117.889999,118.570000,117.809998,118.430000,115.386108,27500
2016-08-05,119.019997,119.900002,119.019997,119.820000,116.740379,87100
2016-08-08,119.930000,119.949997,119.529999,119.779999,116.701401,18600
2016-08-09,119.839996,120.290001,119.820000,119.989998,116.905998,122400
2016-08-10,120.010002,120.010002,119.470001,119.660004,116.584480,13100
2016-08-11,119.980003,120.370003,119.900002,120.180000,117.091125,26600
2016-08-12,119.959999,120.120003,119.790001,120.120003,117.032684,23100
2016-08-15,120.199997,120.870003,120.199997,120.599998,117.500320,12900
2016-08-16,120.470001,120.470001,119.970001,119.970001,116.886536,38200
2016-08-17,119.970001,119.970001,119.190002,119.860001,116.779358,18000
2016-08-18,119.849998,120.110001,119.669998,120.050003,116.964462,14900
2016-08-19,119.800003,120.300003,119.629997,120.239998,117.149582,14700
2016-08-22,120.120003,120.419998,119.830002,120.199997,117.110611,10400
2016-08-23,120.680000,121.010002,120.680000,120.779999,117.675697,42600
2016-08-24,120.779999,120.779999,119.809998,120.099998,117.013176,10800
2016-08-25,119.900002,120.489998,119.459999,120.360001,117.266502,14400
2016-08-26,120.389999,121.320000,120.059998,120.239998,117.149582,7200
2016-08-29,120.720001,121.309998,120.720001,121.010002,117.899788,15900
2016-08-30,120.830002,121.129997,120.400002,120.680000,117.578270,17800
2016-08-31,120.589996,120.680000,120.209999,120.660004,117.558800,107200
2016-09-01,120.540001,121.089996,120.080002,121.019997,117.909538,25000
